symbol_id,date,symbol,adj_close,rsi_3,rsi_9,ema_rsi_9_3,wma_rsi_9_21,pct_price_change,delv_pct,sma_20,prev_rsi_3,weekly_date,rsi_3_weekly,monthly_date,rsi_3_monthly
363,2025-12-30,CARTRADE,2768.5,55.01,47.06,44.79,42.11,2.77,,2806.0,25.19,2025-12-29,54.37,2025-12-01,57.3
852,2025-12-30,ICICIGI,1955.0,59.82,48.22,44.88,41.74,0.61,,1955.38,21.87,2025-12-29,53.93,2025-12-01,54.98
310,2025-12-22,BLACKBUCK,637.1,55.7,45.37,43.16,42.6,1.04,,648.74,38.04,2025-12-22,59.31,2025-12-01,81.18
1407,2025-12-18,ONESOURCE,1634.4,58.9,47.1,44.2,43.14,1.01,,1629.92,44.69,2025-12-15,60.96,2025-12-01,50.32
396,2025-12-16,CHOICEIN,756.3,56.38,47.3,44.74,38.12,-2.06,,772.48,75.42,2025-12-15,56.15,2025-12-01,73.2
1753,2025-12-16,SGMART,337.9,58.62,42.72,40.06,39.3,-0.46,,344.01,72.09,2025-12-15,60.19,2025-12-01,63.66
121,2025-12-11,ANANDRATHI,2884.5,56.12,42.54,39.92,36.12,0.52,,2907.54,41.63,2025-12-08,50.9,2025-12-01,75.94
712,2025-12-10,GODAVARIB,244.55,59.39,47.45,45.0,41.44,0.12,,248.04,58.54,2025-12-08,54.5,2025-12-01,63.1
712,2025-12-09,GODAVARIB,244.25,58.54,47.1,42.55,40.95,3.98,,248.77,27.32,2025-12-08,54.5,2025-12-01,63.1
1710,2025-12-09,SARDAEN,480.9,52.49,39.23,36.29,35.61,1.36,,494.94,16.98,2025-12-08,60.96,2025-12-01,53.57
456,2025-12-08,DALBHARAT,1993.8,51.67,35.78,33.56,32.99,0.24,,2013.02,31.73,2025-12-08,67.46,2025-12-01,51.89
660,2025-11-26,GANESHHOU,803.4,51.99,42.59,40.42,39.71,-0.32,,816.82,58.35,2025-11-24,65.78,2025-11-01,100.0
283,2025-11-25,BESTAGRO,301.7,59.8,37.68,32.31,26.29,1.84,,311.72,15.21,2025-11-24,86.2,2025-11-01,60.37
1211,2025-11-25,MASKINVEST,158.65,53.0,44.62,41.59,40.8,5.0,,164.16,14.14,2025-11-24,57.54,2025-11-01,63.17
1536,2025-11-25,PROSTARM,156.25,53.85,41.21,37.19,33.97,3.11,,161.62,18.7,2025-11-24,62.27,2025-11-01,67.66
427,2025-11-10,COROMANDEL,2166.1,59.13,46.36,44.07,43.8,0.92,,2178.4,32.06,2025-11-10,63.49,2025-11-01,61.08
693,2025-11-10,GLENMARK,1829.9,47.78,39.99,37.24,34.2,1.02,,1854.3,18.2,2025-11-10,55.8,2025-11-01,62.37
138,2025-11-04,APCOTEXIND,354.9,58.76,43.14,39.92,34.89,1.05,,358.22,38.69,2025-11-03,78.06,2025-11-01,64.68
